Sentence,Difficulty,Simplified
"Quand je me réveillais la nuit, je voyais seulement une partie de la maison qui était éclairée. C'était le petit salon, la salle à manger, l'entrée où M. Swann arrivait, l'escalier et ma chambre à coucher. Les autres pièces étaient noires. Ça me rappelait un décor simple pour une pièce de théâtre en province.",B1,"Quand je me réveillais la nuit, je voyais seulement une partie de la maison qui était éclairée. C'était le petit salon, la salle à manger, l'entrée où M. Swann arrivait, l'escalier et ma chambre à coucher. Les autres pièces étaient noires. Ça me rappelait un décor simple pour une pièce de théâtre en province."
Il y a un grand test dans le milieu du livre.,B1,Il y a un grand test dans le milieu du livre.
Dites-moi une phrase simple au niveau A1 tout en conservant son sens original.,B1,Dis-moi une phrase simple au niveau A1 tout en conservant son sens original.
Mais c'est une question importante parce que beaucoup de gens la pensent. Elle vient d'une idée en chimie qui a commencé tout seule. Cette idée dit que la manière de classer les substances simples est très importante pour classer toutes les autres substances et tout le système chimique.,B1,Mais c'est une question importante car beaucoup de gens la pensent. Elle vient d'une idée en chimie qui a commencé tout seule. Cette idée dit que la manière de classer les substances simples est très importante pour classer toutes les autres substances et tout le système chimique.
"Les grandes idées peuvent être divisées en plusieurs parties. Parfois, on peut les diviser encore deux fois.",B1,"Les grandes idées peuvent être découpées en plusieurs parties. Parfois, on peut les diviser encore deux fois."
"Pour bien comprendre la chimie, il faut d'abord savoir les bases de la physique.",B1,"Pour bien appréhender la chimie, il vaut mieux connaître les bases de la physique d'abord."
Les deux recherches montrent comment les grandes compagnies mesurent leur importance.,B2,Les deux études montrent comment les grandes entreprises mesurent leur importance.
La méthode de M. Chevreul est très précise et nouvelle. Elle montre qu'il a bien compris la chimie et qu'il a étudié tous les composés sans se soucier de leur origine.,B2,La méthode de M. Chevreul est très précise et nouvelle. Elle montre qu'il a bien compris la chimie et qu'il a étudié tous les composés sans se soucier de leur origine.
"Elle m'a dit qu'elle a essayé de me cacher mais qu'elle a peur que je la trouve. Elle dit que quand elle voit moi, elle a des sentiments compliqués et qu'elle essaie de se perdre dans la foule pour ne pas me voir.",B1,"Elle m'a dit qu'elle a essayé de me cacher mais qu'elle a peur que je la trouve. Elle dit que quand elle voit moi, elle a des sentiments compliqués et qu'elle essaie de se perdre dans la foule pour ne pas me voir."
"Les philosophes qui simplifient beaucoup ne voient pas tout, donc Aristote pense qu'il faut expliquer bien pour que les idées soient justes.",C1,"Les philosophes qui simplifient beaucoup ne voient pas tout, donc Aristote pense qu'il faut expliquer bien pour que les idées soient justes."
Les scientifiques qui étudient les éléments disent qu'il faut trouver une autre façon de les classer parce que diviser en combustibles et métalliques n'est pas très précis.,B2,Les scientifiques qui étudient les éléments disent qu'il faut trouver une autre façon de les classer parce que diviser en combustibles et métalliques n'est pas très précis.
"Pour que tout va bien, il faut que tout le monde soit d'accord et que notre groupe soit très bon. Cela signifie que tout le monde compte et qu'on peut penser comme on veut.",B1,"Pour que tout va bien, il faut que tout le monde soit d'accord et que notre groupe soit très bon. Cela veut dire que tout le monde compte et qu'on peut penser comme on veut."
"L'enfant a perdu son papa il y a 6 mois, il était malade. Il aime bien manger et bien se vêtir. Il a une étoile sur son manteau parce qu'il a gagné un prix.",A2,"L'enfant a perdu son papa il y a 6 mois, il était malade. Il aime bien manger et bien se vêtir. Il a une étoile sur son manteau parce qu'il a gagné un prix."
Les tests montrent que le micro béton réagit différemment dans deux situations.,B2,Les essais montrent que le micro béton se comporte différemment dans deux situations.
"Après avoir travailler beaucoup, il a été apprécié par les autres. Il a dit qu'il avait des problèmes mais il voulait me dire ses bonnes nouvelles : il était très content et très motivé.",B1,"Après avoir travailler beaucoup, il a été apprécié par les autres. Il a dit qu'il avait des problèmes mais il voulait me dire ses bonnes nouvelles : il était très content et très motivé."
L'encyclopédie dit que les choses sont différentes parce qu'elles ont des parties et que ces parties peuvent être en paires ou en groupes.,B2,L'encyclopédie dit que les choses sont différentes parce qu'elles ont des parties et que ces parties peuvent être en paires ou en groupes.
Nous avons dit des excuses pour ce que nous avons dit.,A2,Nous avons dit des excuses pour ce que nous avons dit.
"Rodilardus, un chat, attrapait beaucoup de souris, donc il n'en restait pas beaucoup chez lui.",B1,"Rodilardus, un chat, attrapait beaucoup de souris, donc il n'en restait pas beaucoup chez lui."
Les idées sont comme des petits morceaux qui aident à comprendre.,B1,Les idées sont comme des petits morceaux qui aident à comprendre.
"Je vais voir si cet article sur les sciences me fait aimer les apprendre plutôt que de les détester. Parce que les gens doivent être contents que les sciences changent et progresse, pas qu'elles soient dites parfaites et immobiles.",B2,"Je vais voir si cet article sur les sciences me fait aimer les apprendre plutôt que de les détester. Parce que les gens doivent être contents que les sciences changent et progresse, pas qu'elles soient dites parfaites et immobiles."
"Bien que cela soit difficile, la classification en chimie est meilleure que les autres parce que la nature des choses l'aide. La classification chimique est si parfaite parce qu'elle n'est pas par hasard.",B2,"Malgré le fait qu'elle soit difficile, la classification en chimie est meilleure que les autres parce que la nature des choses l'aide. La classification chimique est si parfaite parce qu'elle n'est pas par hasard."
"Si les habitats des animaux et des plantes changent, cela rend difficile de savoir comment les gens vont vivre, même si ils peuvent un peu contrôler leur vie.",B1,"Si les endroits où vivent les animaux et les plantes changent, cela rend difficile de savoir comment les gens vont vivre, même si ils peuvent un peu contrôler leur vie."
L'étude d'Alain Reynaud sur la Chine des Zhou orientaux montre comment l'unification de la Chine par les Han a été influencée par la géographie et la position des principautés en Eurasie orientale. Cette recherche est considérée comme le début de la géohistoire après Braudel.,C2,L'étude d'Alain Reynaud sur la Chine des Zhou orientaux montre comment l'unification de la Chine par les Han a été influencée par la géographie et la position des principautés en Eurasie orientale. Cette recherche est considérée comme le début de la géohistoire après Braudel.
"Quand elle a ouvert les yeux, elle a vu quelque chose de beau et elle a pensé qu'elle était la plus belle. Elle savait qu'elle avait tout créé.",B1,"Quand elle a ouvert les yeux, elle a vu quelque chose de beau et elle a pensé qu'elle était la plus belle. Elle savait qu'elle avait tout créé."
La chimie a beaucoup avancé grâce à ce que la biologie l'a aidée.,B1,La chimie a beaucoup progressé grâce à ce que la biologie l'a aidée.
"Il y a beaucoup de choses à faire, donc il faut bien planifier son temps et suivre des règles pour ne pas se lasser trop.",B1,"Il y a beaucoup de choses à faire, donc il faut bien organiser son temps et suivre des règles pour ne pas se fatiguer trop."
"Depuis longtemps, on appelle la chimie par le même nom et elle a toujours le même sens.",B1,"Depuis longtemps, on appelle la chimie par le même nom et elle a toujours le même sens."
La physique utilise beaucoup de maths pour expliquer les choses.,B2,La physique utilise beaucoup de maths pour comprendre les choses.
Les Français pensent qu'ils sont très bons et ils ne veulent pas faire comme les Allemands avec le naturisme.,B1,Les Français pense qu'ils sont très bons et ils ne veulent pas faire comme les Allemands avec le naturisme.
"Elle le sentait près d'elle, dans une pièce sombre. La lumière des rues entrait à travers la fenêtre.",B1,"Elle le sentait près d'elle, dans une pièce sombre. La lumière des rues entrait à travers la fenêtre."
"Généralement, quand les questions sont plus difficiles, elles sont plus dur à répondre. C'est vrai pour les maths, même si elles sont plus faciles à comprendre que d'autres sujets.",B1,"En général, quand les questions sont plus difficiles, elles sont plus dur à répondre. C'est vrai pour les maths, même si elles sont plus faciles à comprendre que d'autres sujets."
"Je pense que la chimie est plus simple que les autres sciences, mais les noms des choses dans les autres sont plus difficiles à comprendre mais ils sont très utiles à apprendre.",B1,"Je trouve que la chimie est plus simple que les autres sciences, mais les noms des choses dans les autres sont plus difficiles à comprendre. Mais ils sont très utiles à apprendre."
"Hier, une vieille dame a secoué la tête avec un vieux chapeau à ailes courbées qui couvraient presque tout son visage.",B1,"Hier, une vieille dame a secoué la tête avec un vieux chapeau à ailes courbées qui couvraient presque tout son visage."
"Malgré quelques problèmes, les musiciens ont joué. Une grande lampe a éclairé la salle et les musiciens sont entrés un à un, commençant par des guitares, des trompettes et des flûtes.",B2,"Malgré quelques problèmes, les musiciens ont joué. Une grande lampe a éclairé la salle et les musiciens sont entrés un à un, commençant par des guitares, des trompettes et des flûtes."
"Quand l'acide sulfurique se mélange avec de l'eau et du fer, il donne de l'hydrogène vite. C'est parce que l'acide sulfurique aime beaucoup réagir avec l'oxygène du fer. Ça se passe aussi avec d'autres substances.",B1,"Quand l'acide sulfurique se mélange avec de l'eau et du fer, il donne de l'hydrogène vite. C'est parce que l'acide sulfurique aime beaucoup réagir avec l'oxygène du fer. Ça se passe aussi avec d'autres substances."
Kassák dit que entrer dans les maisons de nuit est difficile et que les gens y vont parce qu'ils n'ont pas où dormir. Ils sont aussi peureux parce qu'ils sont souvent maltraités là-dedans.,B1,Kassák dit que entrer dans les maisons de nuit est difficile et que les gens y vont parce qu'ils n'ont pas où dormir. Ils sont aussi peureux parce qu'ils sont souvent maltraités là-dedans.
Beaucoup de pays ont des choses en commun avec la France et comment vivre et penser. Les gens qui veulent être riches et nobles adoptent souvent ces habitudes.,B1,Beaucoup de pays ont des choses en commun avec la France et comment vivre et penser. Les gens qui veulent être riches et nobles adoptent souvent ces habitudes.
"Si elle fait quelque chose, cela dépend de ce qui se passe autour d'elle.",A2,"Si elle fait quelque chose, cela dépend de ce qui se passe autour d'elle."
"Pour aider les gens, il faut travailler moins, partager plus et soutenir les groupes qui aident les autres.",B1,"Pour aider les gens, il faut travailler moins, partager plus et soutenir les groupes qui aident les autres."
"Un homme qui n'a pas été baptisé, un bon anabaptiste, s'appelait Jacques. Il aimait bien traiter un autre homme sans plumes, qui avait un cœur gentil.",B1,"Un homme qui n'a pas été baptisé, un bon anabaptiste, s'appelait Jacques. Il aimait bien traiter un autre homme sans plumes, qui avait un cœur gentil."
Beaucoup de personnes restent avec leurs amis et ne voient pas ce qui se passe autour d'eux. Ils pensent que les choses qui les distraient sont amusantes.,B1,Beaucoup de gens restent avec leurs amis et ne voient pas ce qui se passe autour d'eux. Ils pensent que les choses qui les distraient sont amusantes.
"Les choses importantes pour vivre sont les mêmes pour tout le monde, mais les gens font des choses différentes.",B1,"Les choses essentielles pour vivre sont les mêmes pour tout le monde, mais les gens font des choses différentes."
"Avant de demander de l'argent, il faut savoir qui le donne.",A2,"Avant de demander de l'argent, il faut savoir qui le donne."
Les scientifiques qui font de la chimie doivent bien la comprendre pour savoir ce qu'elle est vraiment. Ils ne peuvent pas accepter des réponses qui ne sont pas justes.,B1,Les scientifiques qui font de la chimie doivent bien la comprendre pour savoir ce qu'elle est vraiment. Ils ne peuvent pas accepter des réponses qui ne sont pas justes.
"Apprendre un autre langage, comme le breton et le français, aide les enfants à mieux comprendre d'autres langues et à être plus curieux pour la culture.",B1,"Apprendre un autre langage, comme le breton et le français, aide les enfants à mieux comprendre d'autres langues et à être plus curieux pour la culture."
La philosophie nous aide à mieux comprendre une science très importante.,B1,La philosophie nous aide à mieux comprendre une science très importante.
Il y avait une créature étrange qui ressemblait à une grosse pièce de viande avec des yeux qui ne voyaient pas bien et un visage pas bien fait.,B1,Il y avait une créature étrange qui ressemblait à une grosse pièce de viande avec des yeux qui ne voyaient pas bien et un visage pas bien fait.
"Les histoires anciennes sont importantes pour une partie de la Méditerranée, mais elles ne sont utiles que pour un moment et ne montrent pas tout le pays.",B1,"Les contes anciens sont importants pour une partie de la Méditerranée, mais ils ne sont utiles que pour un moment et ne montrent pas tout le pays."
"Les réactions chimiques sont différentes des mouvements physiques, mais elles sont plus simples que les processus vivants. On peut les comparer, mais c'est juste une idée simple.",B2,"Les réactions chimiques sont différentes des mouvements physiques, mais elles sont plus simples que les processus vivants. On peut les comparer, mais c'est juste une idée simple."
"Ils arrivent avec leur pipe de terre brune, en faisant sortir de la cendre qui se détache de leur pouce.",B1,"Ils arrivent avec leur pipe de terre brune, en faisant sortir de la cendre qui se détache de leur pouce."
"Les idées sur la façon dont les œufs se forment ont changé au fil du temps grâce à des découvertes comme le microscope. En 1827, Baer a découvert que les œufs des mammifères sont dans une vésicule appelée vésicule de Graaf. Plus tard, on a étudié comment les cellules se forment à l'intérieur de l'œuf. En 1835, on a trouvé le protoplasme, qui est la partie la plus simple de la cellule. En 1877, on a vu comment le spermatozoïde entre dans l'œuf de l'étoile de mer. Cela nous a aidé à comprendre comment les noyaux des deux gamètes se combinent. En 1883, un zoologiste belge a été le premier à montrer comment les noyaux des deux gamètes se mélangent lorsqu'ils se fusionnent.",C1,"Les idées sur la façon dont les œufs se forment ont changé au fil du temps grâce à des découvertes comme le microscope. En 1827, Baer a découvert que les œufs des mammifères sont dans une vésicule appelée vésicule de Graaf. Plus tard, on a étudié comment les cellules se forment à l'intérieur de l'œuf. En 1835, on a trouvé le protoplasme, qui est la partie la plus simple de la cellule. En 1877, on a vu comment le spermatozoïde entre dans l'œuf de l'étoile de mer. Cela nous a aidé à comprendre comment les noyaux des deux gamètes se combinent. En 1883, un zoologiste belge a été le premier à montrer comment les noyaux des deux gamètes se mélangent lorsqu'ils se fusionnent."
"Pour ne pas oublier et pour faire mieux, il faut toujours apprendre.",B1,"Pour ne pas oublier et pour faire mieux, il faut toujours apprendre."
"Pour enseigner la chimie, je commence par montrer où elle est dans les sciences. Je regarde d'abord la mathématique, puis l'espace et enfin la physique pour mieux expliquer.",B2,"Pour enseigner la chimie, je commence par montrer où elle est dans les sciences. Je regarde d'abord la mathématique, puis l'espace et enfin la physique pour mieux expliquer."
"Quant à la façon de faire, bien que j'aie parlé des problèmes de la physique moderne, la philosophie de la physique est plus liée à la philosophie chimique de l'état parfait aujourd'hui.",C1,"Concernant la façon de faire, bien que j'aie parlé des problèmes de la physique moderne, la philosophie de la physique est plus liée à la philosophie chimique de l'état parfait aujourd'hui."
"Dès qu'elle a perdu son chien, elle a cherché partout pour le retrouver.",B1,"Dès qu'elle a perdu son chien, elle a cherché partout pour le retrouver."
"Pour savoir ce qui fait un vivant, on regarde sa forme et la chimie nous dit quels éléments il a vraiment.",B2,"Pour comprendre ce qui fait un vivant, on regarde sa forme et la chimie nous dit quels éléments il a vraiment."
Cette science a des problèmes parce qu'elle a été faite à différents moments et ne fonctionne pas bien ensemble.,B1,Cette science a des problèmes parce qu'elle a été faite à différents moments et ne marche pas bien ensemble.
"Il faut changer la façon de regarder les cultures, pas seulement celle de chez nous.",B1,Il est important de voir les autres cultures comme nous voyons la nôtre.
"Mais il y a des indices qui montrent que nous allons parler d'un grand sujet bientôt, je pense.",B1,"Mais il y a des signes qui disent que nous allons parler d'un grand sujet bientôt, je pense."
"Il n'y a pas de phrase dans un dictionnaire qui me semble aussi simple que celle de la chimie, dit-il. Elle est entre la physique et la physiologie.",B2,"Il n'y a pas de phrase dans un dictionnaire qui me semble aussi simple que celle de la chimie, dit-il. Elle est entre la physique et la physiologie."
"D'accord, sois prudent : M. Whoeler a dit qu'il a utilisé de l'urée de nouveau.""""""",B1,"Alors, sois prudent : M. Whoeler a dit qu'il a utilisé de l'urée de nouveau."
"Si un sénateur a le plus de votes, on le remplace par quelqu'un qui a été élu avec lui à la même élection.",B1,"Si un sénateur a le plus de votes, on le remplace par quelqu'un qui a été élu avec lui à la même élection."
"Elle me dit doucement et me donne des conseils gentils. Elle veut être ma vraie amie, mais elle ne peut pas me voir avant que son ami le comte de P *** ne revienne.",B1,"Elle me dit doucement et me donne des conseils gentils. Elle veut être ma vraie amie, mais elle ne peut pas me voir avant que son ami le comte de P *** ne revienne."
"La nature a souvent des effets sans chimie, mais pas de physique sans chimie.",C1,"La nature a souvent des effets sans chimie, mais pas de physique sans chimie."
Il faut parler doucement et écouter pour être gentil.,A2,Il faut parler doucement et écouter pour être gentil.
"Ils diraient que le corps agit différemment avec des choses solides et des choses liquides, et on va voir ça dans la deuxième partie du livre.",B1,"Ils disent que le corps fait des choses différentes avec des objets solides et des liquides, et on va voir ça dans la deuxième partie du livre."
Les choses vont souvent bien quand on sait comment elles sont faites.,B1,"Quand on sait comment ça marche, ça va souvent bien."
Il dit des mauvaises choses à tout le monde et à tout ce qui se passe. Il semble être un peu méchant.,A2,Il dit des choses méchantes à tout le monde et à tout ce qui se passe. Il semble être un peu méchant.
"Quand tout le monde parle du virus, je me demande ce que Pascal a dit sur les sciences. Il y a une phrase que tout le monde a lue quand il était jeune, mais qu'on ne pense plus depuis : ""Les sciences nous montrent où nous sommes allés.""",B1,"Quand tout le monde parle du virus, je me demande ce que Pascal a dit sur les sciences. Il y a une phrase que tout le monde a lue quand il était jeune, mais qu'on ne pense plus depuis : ""Les sciences nous montrent où nous sommes allés."""
Il y a des problèmes avec son organisation et elle n'est pas très bien.,B1,Il y a des problèmes avec son organisation et elle n'est pas très bien.
"Aider les autres, ça compte.",A2,"Aider les autres, c'est important."
"Il y avait une grande exposition de soies, de satins et de velours avec des couleurs jolies. Les velours étaient noirs et blancs, les satins étaient roses et bleus, et les soies étaient toutes les couleurs de l'arc-en-ciel. Les employés les faisaient bouger pour qu'ils ressemblent à des vêtements. Entre chaque motif, il y avait un foulard crème qui se mouvait.",B1,"Il y avait une grande exposition de soies, de satins et de velours avec des couleurs jolies. Les velours étaient noirs et blancs, les satins étaient roses et bleus, et les soies étaient toutes les couleurs de l'arc-en-ciel. Les employés les faisaient bouger pour qu'ils ressemblent à des vêtements. Entre chaque motif, il y avait un foulard crème qui se mouvait."
"Si les matériaux de la chimie sont bien rangés, les scientifiques peuvent mieux comprendre et utiliser les expériences.",B2,"Si les choses de la chimie sont bien rangées, les scientifiques peuvent mieux comprendre et utiliser les expériences."
"Les scientifiques en chimie disent que les deux parties ne sont pas si différentes, car la première s'étend et la seconde utilise d'autres domaines pour ne pas disparaître complètement.",B2,"Les scientifiques en chimie pensent que les deux parties ne sont pas si différentes, car la première s'étend et la seconde utilise d'autres domaines pour ne pas disparaître complètement."
La chimie est amusante quand on la regarde bien et elle nous aide à comprendre ce qu'elle fait.,B1,La chimie est amusante quand on la regarde bien et elle nous aide à comprendre ce qu'elle fait.
"Depuis les années 70, la biotechnologie a beaucoup avancé et on peut maintenant changer les gènes des vivants de manière très précise, comme dans les cellules et même les atomes.",B2,"Depuis les années 70, la biotechnologie a beaucoup évolué et on peut maintenant changer les gènes des vivants de manière très précise, comme dans les cellules et même les atomes."
Dire que les réactions chimiques sont comme des calculs mathématiques n'est pas exact. Ça vient de ne pas bien comprendre comment ça fonctionne.,B1,Dire que les réactions chimiques sont comme des calculs mathématiques n'est pas vrai. Ça vient de ne pas bien comprendre comment ça marche.
Cet auteur célèbre a fait des jeux pour apprendre à lire plus vite.,B1,Cet auteur célèbre a créé des jeux pour aider à apprendre à lire plus rapidement.
"Donc, selon cette méthode, chaque lune représente un niveau d'activité qui suit les autres et qui se distinguent par de grandes différences naturelles.",C1,"Donc, selon cette méthode, chaque lune représente un niveau d'activité qui suit les autres et qui se distinguent par de grandes différences naturelles."
"Depuis que nous avons compris que nos amis peuvent changer, on ne peut plus dire qu'ils sont toujours les mêmes.",B1,"Depuis que nous avons compris que nos amis peuvent changer, on ne peut plus dire qu'ils sont toujours les mêmes."
Il pense que les Juifs font autre chose.,B1,Il pense que les Juifs sont différents.
"Si on regarde bien, on peut voir que c'est vrai.",B1,"Si on regarde bien, on peut voir ça."
Les scientifiques qui regardent les éléments disent que beaucoup de choses sont faites de très petits morceaux. Cela a fait penser certains à dire que tout est fait de très peu de choses très petites.,B1,Les scientifiques qui étudient les éléments disent que beaucoup de choses sont faites de très petits morceaux. Cela a fait penser certains à dire que tout est fait de très peu de choses très petites.
"Les choses qui ont une forme ne font pas souvent des réactions chimiques, mais si on les fait très chauds, elles peuvent disparaître.",B2,"Les objets qui ont une forme ne font pas souvent des réactions chimiques, mais si on les fait très chauds, ils peuvent disparaître."
