,sentence,difficulty,predictions
127,C'est fini.,A1,A1
128,J'espères que tu vas bien,A1,A1
129,"Il y a cinq chambres, une grande cuisine, un salon et deux salles de bains",A1,A1
130,Je vis chez Gérarda avec ma fille depuis deux ans.,A1,A1
131,"Son mari, lui, n'aime pas beaucoup la mer",A1,A1
132,"C'est là, au bout de la rue.",A1,A1
133,Je profite aussi du petit-déjeuner pour lire les infos en ligne,A1,A2
134,"Excusez-moi, je me suis perdu. Pouvez-vous m'aider ?",A1,A1
135,"Merci Marco, c'est très gentil !",A1,A1
136,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1,B1
137,"Ce n'est pas étonnant, car c'est une saison mystérieuse",A1,B1
138,J'écoute des dialogues tous les jours.,A1,A1
139,"J'étais assez calme, j'avais beaucoup de copains et je passais des heures avec eux tous les jours",A1,A2
140,Ils seront tous à la maison ce soir.,A1,A1
141,Vous allez bientôt avoir une grande surprise !,A1,A2
142,Vous êtes une des copines de Zoé.,A1,A1
143,Je parle beaucoup.,A1,A1
144,Je ne sais pas.,A1,A1
145,"Le soir, je regarde la télé jusqu'à 11 heures.",A1,A1
146,"Oui, ça sera tout ?",A1,A1
147,"Excusez-moi, je me suis perdu.",A1,A1
148,Je lis un livre très intéressant !,A1,A1
149,Vous aimez votre travail ?,A1,A1
150,Tu descends l'escalier et tu tournes à gauche.,A1,A1
151,C'est pas mal.,A1,A1
152,"Cet après-midi, avec mes amis nous allons au cinéma.",A1,A1
153,Envoie-moi un mot pour confirmer votre présence.,A1,A2
154,La longueur est une distance mais une sensation aussi.,A1,B1
155,Je prends le train dimanche matin.,A1,A1
156,Bonne chance !,A1,A1
157,je me réveille tous les jpurs à 6 heures et quart.,A1,A1
158,La vie en France est très différente de celle au Canada.,A1,A2
159,Londres est différent de Paris.,A1,A1
160,C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.,A2,B1
161,"Appuyez sur le bouton ""Marche"", en bas à droite de la machine.",A2,B1
162,"Pas de diplôme, pas de boulot.",A2,A2
163,Personne n'a échoué: ils ont tous réussi.,A2,B1
164,"Je sais qu'elle est souvent seule à la maison, et que le soir il rentre très tard.",A2,A1
165,Dites-moi où me cacher.,A2,A1
166,"Dites-lui qu'un pauvre berger lui souhaite le bonjour, et qu'il le prie de le secourir .""",A2,B1
167,Elle a dansé toute la nuit.,A2,A1
168,"Nous avons l'habitude d'acheter quinze pommes, ce sont elles qui les comptent et les mettent dans notre panier.",A2,B1
169,Serveur : y a-t-il un problème avec votre table ?,A2,A2
170,Mais je pense qu'il m'aide beaucoup.,A2,A2
171,Ils disaient que c'était grâce à eux que la forêt était si belle.,A2,B1
172,Le ciel était noir.,A2,A2
173,Je ne trouve pas les livres que j'ai pris à la bibliothèque.,A2,A2
174,"Julie : pas avec la table, mais avec ceux de la table d'à côté ; ils parlent très fort.",A2,A2
175,"Les invités voulaient boire du champagne, mais il n'y en avait plus.",A2,B1
176,Voudrais-tu te joindre à nous ?,A2,A1
177,Je vous soigne si vous avez mal aux dents.,A2,A2
178,Le petit chat a plu à mes parents,A2,A1
179,C'est en tout cas ce que pensait Capek dans son livre fondateur.,A2,B1
180,Le 8 mai est la fête de la Victoire,A2,A1
181,Marie m'a téléphoné et elle m'a rejoint.,A2,B1
182,"Quand on est petit, on apprend à marcher dès huit mois.",A2,B1
183,"Je te dis à très bientôt pour une rentrée des classes en pleine forme Le matin, Théo se lève à six heures",A2,A2
184,"Aujourd'hui, je suis très occupé",A2,A1
185,"J'ai une arme, et toi non.",A2,A1
186,Il demande de l'aide à une alouette.,A2,A1
187,"Ça change que tout le monde au XIXe siècle était obligé de comprendre le français pour aller à la mairie, au service militaire ou encore pour lire la presse.",A2,B1
188,"Le 8 juillet, j'ai supprimé l'eau et le lait.",A2,A2
189,Le petit chat plaît à mes parents.,A2,A1
190,"D'habitude, il n'avait jamais peur.",A2,B1
191,Il ne faut pas toujours aller les demander à la société.,A2,B1
192,"Le serveur : Oui, ça commence dans quelques minutes !",A2,A1
193,"Il a fait un temps magnifique, je suis allé me promener près du parc, il y avait un petit café ouvert.",A2,A2
194,Je suis tout à fait d'accord avec la jeune fille.,A2,A2
195,Même si je sais que c'est le repas le plus important de la journée.,A2,A2
196,"Ce dragon était le vieux serpent, le roi.",A2,B1
197,Il a plu et j'ai attendu l'autobus.,A2,A2
198,Réponds-moi vite et fais ta réservation pour venir.,A2,B1
199,Ça va durer encore longtemps ?,A2,A2
200,je suis déjà en train de sortir du lit.,A2,A1
201,"Cela remonte à il y a bien longtemps. C'était l'hiver, la veille du jour de Noël.",A2,A2
202,Pouvez-vous nous donner un peu plus de détails ?,A2,A2
203,J'ai ouvert la porte et le chien a couru comme une flèche à l'extérieur.,A2,A2
204,"Non, juste quelques minutes.",A2,A1
205,l'école doit nous préparer à affronter ce monde.,A2,B1
206,"Chaque soir, je lis un peu et je dors sur le divan.",A2,A1
207,"Bien, l'enquête est terminée, madame.",A2,B1
208,C'est une fête très joyeuse où tout le monde met des vêtements pleins de couleurs.,A2,A2
209,Je te dis à très bientôt pour une rentrée des classes en pleine forme !,A2,A2
210,Je fais du sport tous les jours.,A2,A1
211,On a passé le reste de la journée à faire les boutiques.,A2,A1
212,"A la fin de son apprentissage, Julien est parti en France.",A2,B1
213,Je crains que la table ne soit pas encore disponible.,A2,B1
214,"Non, ne lisez pas ce texte pour l'instant !",A2,A2
215,"Il reste au lit un quart d'heure dans le noir avant de se lever, pour faire durer la nuit.",A2,A2
216,Qui est déjà monté à cheval ?,A2,A1
217,"En fait, ma mère préfère faire le ménage toute seule parce que moi, je casse tout.",A2,B1
218,"Pour ne pas être malade, lave-toi souvent les mains et ne bois pas dans le verre d'un autre enfant.",A2,B1
219,T'as pas honte.,A2,A1
220,Vous avez bien étudié et vous avez réussi facilement.,A2,B1
221,C'est un gentil bouledogue qui aime les câlins.,A2,A1
222,"À votre arrivée, le 7 juin prochain, nous allons vous accueillir à l'aéroport pour vous conduire à votre hôtel.",A2,B1
223,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,A2
224,"Alors, je les ai remises et j'ai vu son sourire.",A2,B1
225,"Si tu portes un nom arabe, tu as plus de mal à trouver du travail que si tu t'appelles François ou Sylvie.",A2,B1
226,Je crois que c'est surtout pour me faire plaisir.,A2,A2
227,"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.",A2,B1
228,Et les enfants adorent cette fête parce qu'on ne mange rien d'autre que des crêpes.,A2,A2
229,"Vous prônez une ouverture de l'école sur le monde d'aujourd'hui, je suis tout à fait d'accord avec vous.",A2,B1
230,"Un roman émouvant, où il est question d'apprendre à vivre, de trouver sa place parmi les autres.",A2,B1
231,"C'est la commémoration, c'est-à-dire la fête anniversaire, de la fin de la Seconde Guerre mondiale.",A2,A2
232,Mais le rocher était fermé.,A2,B1
233,L'école ne peut pas tout faire.,A2,A2
234,"C'est génial, j'ai tout vu avant vous !",A2,A2
235,On est vraiment content que tu sois présente.,A2,A2
236,Je suis en train de repeindre ma chambre.,A2,A1
237,Si tu veux tu peux aussi m'appeler ; je suis chez moi vers 20 h 30.,A2,A1
238,Ne pas respirer les aérosols.,A2,B1
239,"Il sait bien cuisiner alors en général, il prépare aussi le repas.",A2,A2
240,Il y a un nouveau film avec son acteur préféré,A2,A1
241,Je vous remercie et je vous souhaite une très bonne journée.,A2,A1
242,"Vous savez, moi je ne crois pas qu'il y ait de bonne ou de mauvaise situation.",A2,B1
243,"Oui, merci, c'est gentil !",A2,A1
244,"À la Une ce soir, la condamnation de Nicolas Sarkozy.",A2,B1
245,"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie",A2,B2
246,Le nombre de manifestants varie d'une année à l'autre selon la popularité du gouvernement en place.,A2,B2
247,À très bientôt.,A2,A1
248,"Avec son allure, il donne l'impression d'être le maître du monde.",A2,B1
249,Mais pas de maison de poupées,A2,A2
250,Nous avons commencé un nouveau cours,A2,A1
251,Nous vous remercions de votre compréhension et nous vous souhaitons une excellente journée.,A2,A2
252,Cette maison est la nôtre.,A2,A1
253,Elle met son chapeau et elle va à l'épicerie de quartier.,A2,A1
254,On a dû écouter nos parents,A2,A1
255,"Comme il faisait très beau, nous nous sommes promenés le long de la Seine",A2,A2
256,"J'ai pris du poisson avec du riz, et mon frère a choisi un simple steak-frites",A2,A2
257,Où étais-tu hier soir aux alentours de dix heure ?,A2,A1
258,"Alors, qu'est-ce qu'on leur donne là ?",A2,A2
259,"Ensuite, il se sèche très vite les cheveux pour aller manger son petit déjeuner.",A2,B1
260,L'école n'a plus la même fonction qu'hier parce que le monde a changé.,A2,B1
261,Ma femme ma dit que tu es trés gentille.,A2,A1
262,"Jamais, moi je parlerai comme ça de mon père.",A2,A2
263,Il nous arrive de procéder de cette façon de temps en temps.,A2,B1
264,C'est la jungle.,A2,A1
265,Il a pris son parapluie et il est sorti.,A2,A1
266,"Là, la trap, ça vient tout droit des States et c'est tout nouveau en fait dans le rap",A2,B1
267,Il fumait un paquet de cigarettes par jour avant d'arrêter.,A2,B1
268,Comment tu as trouvé le repas de ce midi,A2,A1
269,"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête.",A2,A2
270,"Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine.",A2,A2
271,"Il était temps pour eux de migrer vers l'Afrique, en attendant le prochain été.",A2,B1
272,"Il y a un an, j'ai décidé de ne plus manger de viande.",A2,A2
273,"Maintenant que je le connais, je n'ai plus peur !",A2,B1
274,Tout savoir avant d'adopter un chat.,A2,B1
275,Mais le marché est loin de leur maison et ils ne peuvent pas y aller à pied.,A2,A2
276,"Quand on était petit, on apprenait à marcher.",A2,B1
277,"Enseigner à apprendre, même par ceux qui ne réussissent pas.",A2,B1
278,Je vais chez le dentiste l'après-midi mais je suis libre le soir,A2,A1
279,Le gâteau est dans le frigo.,A2,A1
280,J'ai trouvé un stage qui me plaît beaucoup.,A2,A2
281,Tu veux du sucre dans ton café,A2,A1
282,"J'ai obtenu ce que je voulais, je suis satisfait.",A2,A2
283,Vous aimez l'aventure ?,A2,A1
284,Je ne pourrai pas venir demain.,A2,A1
285,On pourra se faire un cinéma ou un bowling à l'occasion si tu veux ?,A2,A2
286,Ils ont des étoiles plein les yeux,A2,A2
287,C'est maintenant ou jamais.,A2,A1
288,Tu as entendu ce bruit ?,A2,A2
289,"Ensuite, je vais faire mes courses au supermarché où je vais acheter des fruits et des légumes",A2,A1
290,D'autres sont plus critiques.,A2,B1
291,"Mais ma plus grande passion, c'est l'art.",A2,A2
292,"Vous savez, je ne l'utilise que pour les cas d'urgence !",A2,A2
293,C'est exactement l'une des meilleurs methodes d'apprentissage d'une langue etrangere.,A2,B1
294,Un petit garçon : On essaye de leur parler,A2,A1
295,La cuisine est la pièce préférée de ma maison,A2,A1
296,Les hommes la découpent et la placent au-dessus de la flamme.,A2,B1
297,Il faut bien faire attention à ses vêtements et à sa coiffure,A2,A2
298,"Je m'appelle Laurent et j'habite à Paris avec mes parents, ma soeur ainée et mon frère.",A2,A1
299,"Non, ne mange pas votre goûté dans la classe !",A2,A2
300,"Comme ça, je pourrais l'utiliser plus souvent !",A2,B1
301,Vincent cherche une idée de cadeau pour le départ de sa collègue de bureau,A2,A2
302,Êtes-vous prêts à découvrir cette histoire de Noël ?,A2,B1
303,Mais la société a évolué et si l'école ne le fait pas il y aura de plus en plus de jeunes comme ceux que décrit Mlle Lesueur.,A2,B1
304,"Et toi, ça va ?",A2,A1
305,Je vais me promener dans le parc avec mon camarade.,A2,A1
306,"Oh tu sais, au début ce n'était pas facile.",A2,A2
307,Une petite fille : Là ils [ne] comprennent pas notre langue parce qu'ils [ne] parlent pas,A2,A2
308,"Tu pourrais ranger ta chambre, ça t'aiderait à les retrouver !",A2,B1
309,"C'est déjà le lundi, et toute la semaine recommence",A2,A1
310,Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.,A2,B1
311,"Et bien, pourquoi pas ?",A2,A1
312,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,B1
313,Donne-moi la serviette !,A2,A1
314,"Excusez-moi, serait-il possible de changer de table ?",A2,A2
315,"Cette fois, les femmes et les enfants marchent au milieu du groupe.",A2,A2
316,Je répare votre voiture.,A2,A1
317,Mon frère Patrice est plus jeune que moi,A2,A1
318,"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film",A2,B1
319,Je rentrais chaque jour en compagnie de mon amoureux.,A2,B1
320,"""Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",B1,B1
321,"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",B1,B1
322,"Vous parlez de la loi en général, mais vous oubliez de préciser que ce texte n'est pas voté!",B1,B1
323,Cet homme n'hésitera pas à accueillir les hôtes qui se présentent chez lui au risque de perdre la vie.,B1,B1
324,Il apprendra à ne pas courir après un ballon ou à ne pas avoir peur du klaxon des voitures.,B1,B1
325,Du haut de cette colline la vue sur Marseille est remarquable,B1,B1
326,Je vais vous donner une traitement qui va vous aider.,B1,A2
327,C'est aussi un test pour les couples nouvellement formés ou qui n'avaient jamais expérimenté la vie à deux.,B1,B1
328,"Cela faisait trois semaines que le navire était immobilisé accidentellement sur un récif, un rocher dans la mer, près de l'île.",B1,B1
329,"Quand je reviendrai, j'offrirai beaucoup d'amour à ceux que j'aprécie et je couvrirai mes enfants de présents.",B1,B1
330,Voyager c'est bien mais voyager responsable c'est encore mieux !,B1,B1
331,"La vertu : la vertu est le mérite, la moralité ou la sagesse d'une personne.",B1,B1
332,Le courant d'air ainsi créé permet à la sueur - qui absorbe la chaleur du corps - de s'évaporer et ainsi de le refroidir.,B1,B1
333,C'était sa grande différence entre lui et moi.,B1,B1
334,"Ils m'ont expliqué qu'ils n'avaient pas encore vu quelqu'un d'aussi expressif, et qu'ils allaient me recontacter.",B1,B1
335,Nous allons nous promener en bord de mer et rendre visite à nos amis.,B1,A1
336,Je ne suis qu'un bon soldat timide.,B1,A2
337,"Je vois bien l'intérêt de cet appareil, mais je n'en ai pas l'usage.",B1,B1
338,Il devait à tout prix téléphoner à son bourreau quand il recevait des nouvelles de son banquier.,B1,B1
339,Vous deviez rendre des comptes à la justice pour vos crimes.,B1,B2
340,Vous allez piloter ce fichu avion et m'amener en Amérique du Sud.,B1,B1
341,"C'est une soupe de poissons, spécialité de Marseille",B1,A2
342,"Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au centre",B1,B2
343,"Soudain, il entendit une voix qui lui disait de s'approcher.",B1,B1
344,"En cette fin de matinée, Djengo, jeune chien d'un an et demi, est au travail.",B1,A2
345,Ils se sont fait des copains et sont heureux de vivre en France,B1,A2
346,"Je suis désole, mais je suis resté en arrière avec tes histoires.",B1,B1
347,Une petite révolution et des chiffres qui parlent tout seuls.,B1,B1
348,"Il accepte les différences, il est tolérant.",B1,B1
349,"Pour les habitants des quartiers historiques, la vie n'est plus la même : les rues pleines de touristes perdent peu à peu leurs magasins de quartier.",B1,B1
350,"À partir de maintenant, il travaillera avec nous dans l'équipe commerciale en tant que responsable des ventes.",B1,B1
351,"Quand il y a un grand soleil sur la carte, il fera chaud sur la région",B1,A2
352,Elle cueillera les roses et elle les arrosera si nécessaire.,B1,B1
353,Qu'allez-vous faire demain ?,B1,A1
354,"Évidemment, mes lunettes sont par terre, et moi, sans mes lunettes, je n'y vois rien, mais alors, rien du tout !",B1,B1
355,C'est un parc où les gens viennent se promener en famille et entre amis,B1,A1
356,Le tableau paraissait plus beau qu'avant.,B1,B1
357,Je voudrais tellement que tout le monde admire mes tableaux !,B1,B1
358,"Il avait pris sa belle valise verte qu'il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes chez sa vieille amie Sylvaine qu'il voyait beaucoup avant de vivre à Valencienne",B1,B2
359,"Car depuis ce dimanche, l'utilisation des sacs en plastique fins est interdite dans tout l'État de New York sous peine d'une amende de 250 dollars",B1,B2
360,C'est un médicament qui est très bon pour soigner les problèmes d'estomac.,B1,B1
361,Il n'y a cependant pas de plats de légumes à la carte.,B1,A2
362,"Accusé de vol, l'homme a fini par avouer qu'il était coupable.",B1,B1
363,Je suis allé la voir dès que j'ai appris qu'elle avait des problèmes.,B1,B1
364,"Quand ils s'approchent trop près de la tribu, les femmes leur jettent des pierres et les hommes les chassent.",B1,B2
365,"En me massant, il a soulagé ma douleur.",B1,B1
366,"Pour terminer, n'oubliez pas le maquillage",B1,A2
367,"""Je n'ai pas l'habitude d'être en compagnie de quelqu'un vingt-quatre heures sur vingt-quatre et sept jours sur sept"", reconnaît cette chroniqueuse culinaire.",B1,B1
368,"En hiver, elle ne sort jamais sans son parapluie et son écharpe",B1,A2
369,"Une semaine au calme, ça procure un vrai plaisir.",B1,B1
370,"Si vous pouviez rencontrez un artiste, qui est-ce que vous aimeriez rencontrer?",B1,B1
371,La marche était cassée et je suis tombé par terre.,B1,B1
372,Je compte bien arriver dès huit heures.,B1,A1
373,J'ai été me plaindre à la mairie mais ça n'a servi à rien !,B1,B1
374,Est-ce que ton mari et tes enfants vont bien,B1,A1
375,"Ce n'est une surprise pour personne: avec le semi-confinement et le télétravail, les conflits entre voisins ont augmenté.",B1,B2
376,Il jouait au jokari avec un ami.,B1,A1
377,"Ce n'était ni un bateau, ni un avion, mais un moyen de transports terrestre.",B1,B1
378,"Au sous-sol, il y a une cave, pour ranger le vin",B1,A2
379,"Aujourd'hui, avec ma famille (mes parents et mon frère) nous sommes allés au marché de Noël, c'était vraiment incroyable",B1,A2
380,J'aime aussi me promener avec mes amis en rêvant de voyages que nous pourrions faire ensemble.,B1,B1
381,"""Nous devons nous préparer à de nouvelles mutations du coronavirus et ne plus dépendre uniquement de l'UE pour la production de vaccins de deuxième génération"", a-t-il ajouté.",B1,B2
382,Une partie de l'énergie fournie pour se déplacer est transformée en chaleur.,B1,B1
383,A qui appartient le chien qui aboie nuit et jour ?,B1,A2
384,"Elle s'appelle Joy, on parlait de tout, on s'entendait super bien !",B1,A2
385,"Le bac en poche, le premier d'entre eux choisit d'en faire son métier.",B1,B2
386,"Ici, tout est immense, il y a du monde partout, les gens sont pressés c'est impressionnant !",B1,A2
387,"C'est cette première canicule qui avait notamment décidé Greta Thunberg à s'asseoir avec sa pancarte devant le parlement de Stockholm, c'était le début de la grande mobilisation des jeunes pour le climat",B1,B2
388,Il est nécessaire que les gens soeint conscients de l'importance de l'écologie,B1,B1
389,"Lorsqu'il y a un éclair avec des nuages et de la pluie, il risque d'y avoir de la foudre et du tonnerre",B1,B1
390,La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,B1,B2
391,Soit on le trouvera ridicule et ce sera une catastrophe.,B1,B1
392,"Demain, nous nous lèverons tôt et nous nous promènerons dans la les bois situés aux alentours du manoir.",B1,A2
393,"Ce livre, tu me le conseilles ou tu me le déconseilles?",B1,B1
394,Je vais tirer une balle dans chacun de tes membres si tu ne me donnes pas cette serviette.,B1,B1
395,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1,B1
396,"J'ai fait de gros progrès en français, je le comprends et je sais le parler et l'écrire bien mieux maintenant",B1,B1
397,Il passe la matinée au Mucem qui est un musée récent et très connu,B1,B1
398,"il y a du travail, des théâtres, des cinémas, la vie culturelle est riche",B1,B1
399,"C'est le cas à Nowra, à l'ouest de Sidney, où notre envoyée spéciale Murielle Paradon a pu rencontrer un couple de sexagénaires qui a trouvé refuge dans sa voiture",B1,B1
400,"Sur le fond, tout le monde est d'accord.",B1,A2
401,"En juillet, ma famille et moi irons dans le Sud de la France.",B1,A1
402,Pourquoi tu n'as pas acheté cette antiquité ?,B1,B1
403,Je vous demanderai de tout lui montrer et de le seconder cette semaine.,B1,B1
404,"Si j'ai un accident, mon coeur ou mon foie pourront être utilisés.",B1,B1
405,Ils ont déménagé car sa femme a été mutée à Paris.,B1,B1
406,"C'est en représentant mon journal, Le Parisien, à l'émission Res Publica, à la radio, que j'ai rencontré Jean-Luc Hess, qui dirigeait alors la station.",B1,B1
407,Mais je trouve qu'il vaut mieux permettre aux élèves de s'habiller comme ils veulent.,B1,B1
408,"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",B1,C1
409,Il y a un nouveau médicament pour traiter les problèmes de coeur.,B1,B1
410,S'impliqueront-ils dans la vie sociale du collège?,B1,B1
411,"Ces chocolats, coulés en forme d'oeufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes : c'est la ""chasse aux oeufs"".",B1,B2
412,Comment s'appelle le directeur pour lequel vous travaillez ?,B1,A2
413,"Derrière ces jeunes, il y a très souvent des parents en grande difficulté à cause de la pauvreté ou du chômage.",B1,B1
